 MCnum YEAR/MM/DD HH:00 DOY      In     X11     Y11     Z11  Bscala   Bmagn      Bx      By      Bz    SWtemp  SWdens SWspeed FlPress  PlasmB Dst-ind ICMESC CME_ST CME_EN  MC_ST  MC_EN
  8.00 1998/03/04 14:00  63    0.93    0.19   -0.46   -0.01    7.20    6.80    2.40   -4.00   -5.00    48426.    8.70  387.00    2.36    1.23  -14.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 15:00  63    1.05   -0.28   -0.33    0.19    8.50    7.70    2.00   -5.50   -5.00    35648.   12.10  389.00    3.22    1.14  -22.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 16:00  63    1.12   -1.17   -0.98    0.16    8.70    7.60    2.40   -1.90   -7.00    22952.   15.40  384.00    3.91    1.28  -28.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 17:00  63    1.04   -0.38   -0.71    0.25    9.90    9.90    0.70    7.00   -6.90    11969.   13.60  387.00    3.51    0.81  -35.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 18:00  63    1.00   -0.38   -0.51   -0.17   10.00   10.00    0.10    7.80   -6.30    12660.   14.20  382.00    3.54    0.83  -36.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 19:00  63    0.73   -0.46   -0.61    0.00   10.00   10.00   -1.00    9.50   -2.80    12941.   13.40  374.00    3.56    0.79  -32.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 20:00  63    0.81   -0.51   -0.37   -0.27    9.70    9.70   -1.50    8.50   -4.30    12110.   13.80  371.00    3.35    0.86  -27.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 21:00  63    0.74   -0.73   -0.41   -0.32    9.80    9.70   -1.50    7.50   -6.00    11748.   11.80  367.00    3.12    0.72  -27.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 22:00  63    0.71   -0.44   -0.50   -0.35    9.80    9.70   -1.80    8.10   -5.10    17460.   10.90  363.00    3.01    0.69  -29.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 23:00  63    0.58   -0.30   -0.27   -0.17    9.80    9.50   -1.70    9.10   -2.30    20461.   10.60  361.00    3.18    0.68  -26.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/04 24:00  63    0.33    0.05   -0.30   -0.61    9.80    9.50   -2.30    9.10   -1.00    24860.   12.10  359.00    3.41    0.80  -17.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 01:00  64    0.30    0.07   -0.16   -0.60   10.40   10.30   -2.00    9.60   -3.20    26978.   12.00  360.00    3.30    0.72  -12.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 02:00  64    0.20   -0.04   -0.21   -0.39   10.30    9.90   -2.30    9.50   -1.90    27711.   12.50  365.00    3.47    0.77  -12.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 03:00  64    0.25    0.04   -0.33   -0.14   10.90   10.60   -2.90    9.80   -2.70    18289.   11.20  364.00    2.97    0.58  -14.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 04:00  64    0.20   -0.23   -0.59   -0.42   11.10   11.10   -2.50   10.50   -2.30    13316.   11.00  361.00    2.87    0.53  -12.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 05:00  64    0.18   -0.07   -0.38   -0.03   11.10   11.10   -2.10   10.60   -2.50    12055.   12.20  362.00    3.43    0.58   -9.00  99999 -99999  99999 -99999  99999
  8.00 1998/03/05 06:00  64    0.25   -0.00   -0.43   -0.03   11.30   11.30   -2.70   10.70   -2.50    11895.   12.90  357.00    3.55    0.59   -9.00  99999 -99999  99999 -99999  99999
